X,Y,OBJECTID,Id,DateStarted,EstimatedCompletionDate,WorkType,Description,Suburb,Road,TrafficImpact,Region,EntryDate
115.855025540409,-31.9579471571541,175229,45919,31/12/2019 06:00:00,31/12/2021 18:00:00,Maintenance,"Riverside Dr near William St, Perth City - Maintenance
6am to 6pm daily works",Perth City ,Riverside Dr,Lane closures and speed reductions,Metro,17/12/2019 13:03:25
115.87190916507,-31.8897919604306,176544,52430,24/02/2020 22:00:00,11/03/2021 05:00:00,Resurfacing,"Morley Dr at Alexander Dr, Dianella  - Resurfacing
10pm to 5am nightly",Dianella,Morley Dr,Various lane closures,Metro,14/02/2020 14:31:57
115.431706387004,-33.6391512386929,180187,53485,25/03/2020 00:00:00,25/03/2021 00:00:00,Maintenance,Tuart Dr Layman Rd Wonnerup  - Maintenance,Wonnerup,LOCAL ROAD,"Road closed until further notice
Detour in place ",South West,03/04/2020 18:59:48
115.776673585707,-31.8777485020758,180220,53554,12/04/2020 18:00:00,04/04/2021 06:00:00,Maintenance,"Karrinyup Rd at Jeanes Rd, Karrinyup  - Maintenance
6pm to 6am weekly",Karrinyup,Karrinyup Rd,Eastbound left lane closure first Sunday of every month,Metro,07/04/2020 17:12:50
115.764447617997,-32.0473388115265,189131,54724,10/06/2020 10:00:00,31/05/2021 11:00:00,Upgrades,Marmion St eastbound right turn to Stirling Hwy  - Upgrades 24 hour works,,LOCAL ROAD,"Closed, Follow signed detour",Metro,12/06/2020 13:56:13
115.85664855448,-32.0090326612078,191393,55389,12/07/2020 07:00:00,11/07/2021 11:00:00,Maintenance,"Canning Hwy at Kwinana Fwy, Como  - Maintenance
7am to 11am (Sunday works only)",Como,Canning Hwy,Lane closure and speed reductions,Metro,08/07/2020 09:32:40
115.934205228864,-31.9849819247689,192676,55599,26/07/2020 07:00:00,13/06/2021 16:00:00,Maintenance,"Orrong Rd Great Eastern Hwy to Leach Hwy, Carlisle  - Maintenance
7am to 4pm",Carlisle,Orrong Rd,Lane closures and speed reduction,Metro,21/07/2020 09:24:10
115.846910967717,-31.9125269901908,192729,55728,01/08/2020 10:00:00,31/07/2021 14:00:00,Maintenance,"Wanneroo Rd at Wiluna St, Coolbinia  - Maintenance",Coolbinia,Wanneroo Rd,Various lane closures and speed reductions,Metro,29/07/2020 13:20:37
122.420340772197,-28.5347827032958,194809,55989,17/08/2020 07:00:00,30/06/2021 17:00:00,Upgrades,"Great Central Road, 11km north of Laverton - Outback Way Upgrade",Laverton,Great Central Road,Speed Reductions. Temporary Traffic Signals. Lane Closures. Allow Extra Time for Travel,Goldfields Esperance,05/01/2021 09:28:36
115.897256973256,-32.0749539620531,196074,56175,26/08/2020 00:00:00,31/03/2023 23:00:00,Upgrades,"Ranford Road between Bannister Rd and Livingston Dr, Canning Vale  - Upgrades
24/7",Canning Vale,LOCAL ROAD,Lane closures and speed reductions,Metro,26/08/2020 10:22:04
116.733072217621,-32.9244074394943,197761,56405,14/09/2020 07:00:00,31/03/2021 19:00:00,Upgrades,Albany Hwy - Marradong Rd Shire of Williams - Upgrades New Overtaking Lane - 7am - 7pm Daily,Shire of Williams,Albany Hwy,"Reduced to a single lane as required, speed reduced, approach with caution",Wheatbelt,24/02/2021 12:17:47
117.780983213878,-34.997828031956,197788,56484,09/11/2020 07:00:00,12/03/2021 17:00:00,Upgrades,"South Coast Hwy - Howell Rd to Laithwood Circuit, Albany  - Overlay works - 7am to 5pm daily",,South Coast Hwy,Patches of unsealed road so speed reduction in place with possible delays of up to 10 mins - some lane closures ,Great Southern,12/02/2021 09:46:24
115.917855799963,-32.9828318539491,199850,56696,29/09/2020 07:00:00,31/03/2021 17:00:00,Upgrades,"South Western Hwy between Black Rock Rd and Riverdale Rd, Cookernup  - Upgrades",Cookernup,South Western Hwy,"Traffic reduced to one lane.
Traffic stopped intermittently in both directions.
Speed reductions",South West,10/02/2021 16:30:10
115.524100386714,-33.5814806002822,200718,56917,05/10/2020 07:00:00,19/04/2021 17:30:00,Upgrades,"Bussell Hwy between Capel Dr and Ludlow Hithergreen Rd, Capel - Upgrades",Capel,Bussell Hwy,"Speed Reduction
Allow extra time",South West,02/10/2020 16:03:25
117.014166446287,-34.5099214052858,203646,57300,27/10/2020 07:30:00,27/04/2021 16:00:00,Utility works,Muir Hwy - Rocky Gully - Western Power Pole Replacement - 7.30am to 4pm,,Muir Hwy,Traffic management with speed restrictions in place - no delays expected,Great Southern,26/10/2020 12:35:32
118.060265658295,-34.4825108527341,203648,57306,26/10/2020 06:00:00,12/03/2021 18:00:00,Maintenance,Chester Pass Rd - Southern boundary of the Stirling National Park to Bakers Junction  - Shoulder Sealing - 6am to 6pm daily,to Bakers Junction,Chester Pass Rd,Speed reduction in place with a lane closure. 1km worksites moving in a southerly direction towards Bakers Junction. Delays of up to 20 minutes may occur,Great Southern,25/02/2021 16:12:52
116.010978910985,-32.2049061123353,206103,57493,04/11/2020 07:00:00,31/12/2022 07:00:00,Upgrades,Thomas Rd between South Western Hwy and Briggs Rd  - Upgrades,,Thomas Rd,Speed reduced to 40 km/h,Metro,03/11/2020 09:21:52
117.352151901771,-34.8959957265902,206564,57663,15/02/2021 06:00:00,28/06/2021 18:00:00,Upgrades,"Churchill Rd, Denmark  - clearing and bridge widening - 6am to 6pm daily",,LOCAL ROAD,"Existing lane width of 4.2m will remain in place until 30 Mar 2021
Single lane width restriction of 3.2m will be in place from 30 Mar to 28 Jun 2021
Heavy and wide loads will have to have min clearance of 1.2m to clear the safety barriers after 30 Mar 2021. 
Speed reduction will be in place for the duration of the works. ",Great Southern,10/02/2021 08:07:37
